Izpildītājs,Dziesmas nosaukums,Žanrs
Dons,Lauzto šķēpu karaļvalsts,Pop
Dons,Pēdējā vēstule,Pop
Prāta Vētra,Lidmašīnas,Rock
Prāta Vētra,Mana dziesma,Rock
Bermudu Divstūris,Sarkanās,Party
